movement_type,category,transaction_id,customer_id,vl_pix,nr_idade,qt_tempo_relacionamento_mes,first_receiver_flag,pix_key_random_flag,lgbm_raw,lgbm_mapped,if_percentile,se_score,beh_score,score_final,decisao,veto_reason,veto_suppressed_reason,value_bin,relationship_bin,age_bin,if_bin,lgbm_bin,score_bin,flags,comparison_key,config_id,seed
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820260105155155045337525,39912116100,13225.0,60.0,416.0,1,0,0.0581223,54.06,0.991541,40.0,15.0,67.63,CONFIRMAR,,,VL_5K_15K,REL_10Y_PLUS,AGE_60_69,IF_985_995,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|VALOR_5K_PLUS|IDADE_60_PLUS|IF_EXTREMO|SE_ATIVO|BEH_ATIVO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820260112205611934858525,82366950187,8000.0,59.0,358.0,1,0,0.0626326,56.32,0.984974,0.0,15.0,62.74,CONFIRMAR,,,VL_5K_15K,REL_10Y_PLUS,AGE_45_59,IF_950_985,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|VALOR_5K_PLUS|IF_ALTO|BEH_ATIVO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820260113211304796873525,39862798149,206.47,64.0,317.0,1,1,0.09403345,60.7,0.721465,0.0,0.0,67.13,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_60_69,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|PIX_RANDOM|IDADE_60_PLUS,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_RULE_SIGNAL_PRESENT,E0000020820260126204134574887525,4420949309,5249.15,32.0,4.0,1,1,0.25383055,65.39,0.940691,0.0,15.0,69.68,CONFIRMAR,,,VL_5K_15K,REL_0_6M,AGE_30_44,IF_800_950,LGBM_200_300,SCORE_CONFIRMAR,FIRST_RECEIVER|PIX_RANDOM|VALOR_5K_PLUS|REL_CURTO|BEH_ATIVO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820260129161455923389525,8981427000120,2906.1,18.0,97.0,1,0,0.07558018,60.16,0.998507,80.0,20.0,75.16,CONFIRMAR,,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0756 < 0.20,VL_1K_5K,REL_3_10Y,AGE_18_29,IF_995_PLUS,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|IF_EXTREMO|SE_ATIVO|BEH_ATIVO|VETO_SUPPRESSED,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820251230111417795969525,69943630159,46.0,50.0,9.0,0,0,0.02962019,39.81,0.917902,0.0,0.0,45.52,APROVAR,,,VL_000_099,REL_7_12M,AGE_45_59,IF_800_950,LGBM_010_050,SCORE_APROVAR,REL_CURTO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820260107201919128703525,9111898151,380.0,20.0,24.0,0,0,0.02848935,39.24,0.648423,0.0,0.0,40.67,APROVAR,,,VL_100_499,REL_1_3Y,AGE_18_29,IF_LT_800,LGBM_010_050,SCORE_APROVAR,,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820260215114914682353542,19360400777,2000.0,24.0,58.0,1,0,0.02427405,37.14,0.78774,0.0,0.0,39.99,APROVAR,,,VL_1K_5K,REL_3_10Y,AGE_18_29,IF_LT_800,LGBM_010_050,SCORE_APROVAR,FIRST_RECEIVER,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820260302131754985409542,6996881757,425.0,75.0,58.0,0,1,0.01078516,30.39,0.995522,0.0,0.0,35.39,APROVAR,,,VL_100_499,REL_3_10Y,AGE_70_PLUS,IF_995_PLUS,LGBM_010_050,SCORE_APROVAR,PIX_RANDOM|IDADE_60_PLUS|IF_EXTREMO,CAND_007_RECALL__seed_42,CAND_007_RECALL,42
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,E0000020820260103172401005155525,73008311172,142.0,40.0,216.0,1,0,0.08921375,60.56,0.477062,0.0,0.0,64.85,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_30_44,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,E0000020820260123162214303665525,44434707191,50.0,58.0,456.0,1,0,0.16079323,62.66,0.761867,0.0,0.0,68.38,CONFIRMAR,,,VL_000_099,REL_10Y_PLUS,AGE_45_59,IF_LT_800,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,E0000020820260227174607667379525,87568039153,498.96,45.0,317.0,1,1,0.08477212,60.43,0.763758,0.0,0.0,66.15,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_45_59,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|PIX_RANDOM,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FN_RECUPERADO,LGBM_GRAY_FIRST_RECEIVER,E0000020820260316231246610306525,34407499168,300.0,60.0,243.0,1,0,0.18433831,63.35,0.957011,0.0,0.0,70.5,CONFIRMAR,,,VL_100_499,REL_10Y_PLUS,AGE_60_69,IF_950_985,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER|IDADE_60_PLUS|IF_ALTO,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251220151254339179525,8330586731,1300.0,48.0,38.0,1,1,0.12524177,61.62,0.715096,0.0,0.0,64.48,CONFIRMAR,,,VL_1K_5K,REL_3_10Y,AGE_45_59,IF_LT_800,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER|PIX_RANDOM,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251220183509720296525,6154411000118,642.0,22.0,31.0,1,0,0.07211945,60.06,0.774306,0.0,0.0,65.78,CONFIRMAR,,,VL_500_999,REL_1_3Y,AGE_18_29,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251222022229398552525,1432033123,505.0,40.0,174.0,1,0,0.07504036,60.15,0.695094,0.0,0.0,65.15,CONFIRMAR,,,VL_500_999,REL_10Y_PLUS,AGE_30_44,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820251223185403937189525,41803620153,6000.0,57.0,394.0,1,0,0.05402275,52.01,0.979401,40.0,15.0,62.01,CONFIRMAR,,,VL_5K_15K,REL_10Y_PLUS,AGE_45_59,IF_950_985,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER|VALOR_5K_PLUS|IF_ALTO|SE_ATIVO|BEH_ATIVO,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251223200530359290525,2356790110,600.0,37.0,108.0,1,0,0.06831081,59.16,0.713504,0.0,0.0,62.01,CONFIRMAR,,,VL_500_999,REL_3_10Y,AGE_30_44,IF_LT_800,LGBM_050_100,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820251230123117984709525,4233158115,1128.07,76.0,508.0,1,1,0.1945747,63.65,0.9591,0.0,0.0,69.37,CONFIRMAR,,,VL_1K_5K,REL_10Y_PLUS,AGE_70_PLUS,IF_950_985,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER|PIX_RANDOM|IDADE_60_PLUS|IF_ALTO,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820251230222318900742525,39998785000179,9900.0,5.0,4.0,1,0,0.19415187,63.64,0.972236,0.0,15.0,67.93,CONFIRMAR,,,VL_5K_15K,REL_0_6M,AGE_LT_18,IF_950_985,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER|VALOR_5K_PLUS|REL_CURTO|IF_ALTO|BEH_ATIVO,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,E0000020820260121132412577463525,1658445660,1200.0,36.0,44.0,1,0,0.1238138,61.58,0.822271,0.0,0.0,66.58,CONFIRMAR,,,VL_1K_5K,REL_3_10Y,AGE_30_44,IF_800_950,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820260206125737205447525,2596120000129,3318.0,39.0,351.0,1,0,0.11809312,61.41,0.99801,80.0,20.0,80.7,CONFIRMAR,,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.1181 < 0.20,VL_1K_5K,REL_10Y_PLUS,AGE_30_44,IF_995_PLUS,LGBM_100_200,SCORE_CONFIRMAR,FIRST_RECEIVER|IF_EXTREMO|SE_ATIVO|BEH_ATIVO|VETO_SUPPRESSED,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820251230111417795969525,69943630159,46.0,50.0,9.0,0,0,0.02962019,39.81,0.917902,0.0,0.0,45.52,APROVAR,,,VL_000_099,REL_7_12M,AGE_45_59,IF_800_950,LGBM_010_050,SCORE_APROVAR,REL_CURTO,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820260107201919128703525,9111898151,380.0,20.0,24.0,0,0,0.02848935,39.24,0.648423,0.0,0.0,40.67,APROVAR,,,VL_100_499,REL_1_3Y,AGE_18_29,IF_LT_800,LGBM_010_050,SCORE_APROVAR,,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820260215114914682353542,19360400777,2000.0,24.0,58.0,1,0,0.02427405,37.14,0.78774,0.0,0.0,39.99,APROVAR,,,VL_1K_5K,REL_3_10Y,AGE_18_29,IF_LT_800,LGBM_010_050,SCORE_APROVAR,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
TP_PERDIDO,WEAK_SIGNAL_TP_LOST,E0000020820260302131754985409542,6996881757,425.0,75.0,58.0,0,1,0.01078516,30.39,0.995522,0.0,0.0,35.39,APROVAR,,,VL_100_499,REL_3_10Y,AGE_70_PLUS,IF_995_PLUS,LGBM_010_050,SCORE_APROVAR,PIX_RANDOM|IDADE_60_PLUS|IF_EXTREMO,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_REMOVIDO,FP_REMOVED_OTHER,E0000020820260131142258109753525,3585210171,1000.0,37.0,119.0,1,0,0.0618116,55.91,0.806846,0.0,0.0,58.76,APROVAR,,,VL_1K_5K,REL_3_10Y,AGE_30_44,IF_800_950,LGBM_050_100,SCORE_GRAY_55_62,FIRST_RECEIVER,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
FP_REMOVIDO,FP_REMOVED_BY_GUARD,E0000020820260209150712833670525,39292223100,2000.0,55.0,339.0,1,0,0.02574611,37.87,0.99801,80.0,20.0,60.02,APROVAR,,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0257 < 0.20,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,IF_995_PLUS,LGBM_010_050,SCORE_GRAY_55_62,FIRST_RECEIVER|IF_EXTREMO|SE_ATIVO|BEH_ATIVO|VETO_SUPPRESSED,CAND_007_RECALL__seed_123,CAND_007_RECALL,123
